"","Ano","UF","classe","Sexo","Valor_Proj","Valor_Aferido","Comparativo"
"1",2011,"AC","[0,5)","F",43306.0000000001,38129,0.119544635847228
"2",2011,"AC","[05.10)","F",45774,39785,0.130838467252152
"3",2011,"AC","[10,15)","F",44563,42990,0.0352983416735859
"4",2011,"AC","[15,20)","F",39912,39900,0.000300661455200714
"5",2011,"AC","[20,25)","F",35973,35088,0.024601784671837
"6",2011,"AC","[25,30)","F",34795,34546,0.00715620060353437
"7",2011,"AC","[30,35)","F",31366,31101,0.00844863865331854
"8",2011,"AC","[35,40)","F",25271,24932,0.0134145858889641
"9",2011,"AC","[40,45)","F",20999,20500,0.0237630363350649
"10",2011,"AC","[45,50)","F",16616,16621,-0.000300914780935792
"11",2011,"AC","[50,55)","F",13646,13383,0.0192730470467538
"12",2011,"AC","[55,60)","F",10828,10894,-0.00609530845954949
"13",2011,"AC","[60,65)","F",7940,7869,0.00894206549118445
"14",2011,"AC","[65,70)","F",6164.00000000001,6113,0.00827384815055247
"15",2011,"AC","[70,75)","F",4289,4186,0.0240149218932146
"16",2011,"AC","[75,80)","F",2843,2861,-0.00633134013366162
"17",2011,"AC","[80,85)","F",1820,1829,-0.00494505494505331
"18",2011,"AC","[85,90)","F",961,928,0.0343392299687825
"19",2011,"AC","90+","F",610,620,-0.0163934426229506
"20",2011,"AC","[0,5)","M",45272,40212,0.111768863756847
"21",2011,"AC","[05.10)","M",47643.9999999999,41465,0.129691041894046
"22",2011,"AC","[10,15)","M",45944,44547,0.0304065819258224
"23",2011,"AC","[15,20)","M",39969.9999999999,39897,0.00182636977733173
"24",2011,"AC","[20,25)","M",35981,35213,0.0213445985381171
"25",2011,"AC","[25,30)","M",34213,33676,0.0156957881507019
"26",2011,"AC","[30,35)","M",30412,30336,0.00249901354728397
"27",2011,"AC","[35,40)","M",25026,24554,0.0188603851993931
"28",2011,"AC","[40,45)","M",20879,20512,0.0175774701853537
"29",2011,"AC","[45,50)","M",16611,16553,0.00349166215158521
"30",2011,"AC","[50,55)","M",13468,13337,0.00972675972675973
"31",2011,"AC","[55,60)","M",10725,10645,0.00745920745920695
"32",2011,"AC","[60,65)","M",8121.00000000001,8072,0.0060337396872313
"33",2011,"AC","[65,70)","M",6049,6052,-0.0004959497437596
"34",2011,"AC","[70,75)","M",4259,4133,0.029584409485795
"35",2011,"AC","[75,80)","M",2884,2890,-0.0020804438280157
"36",2011,"AC","[80,85)","M",1873.00000000001,1889,-0.00854244527495726
"37",2011,"AC","[85,90)","M",969.999999999999,928,0.0432989690721644
"38",2011,"AC","90+","M",522,521,0.00191570881225967
"39",2011,"AL","[0,5)","F",140019,132592,0.0530428013341045
"40",2011,"AL","[05.10)","F",154373,143530,0.0702389666586777
"41",2011,"AL","[10,15)","F",168386,164004,0.0260235411495012
"42",2011,"AL","[15,20)","F",160019,162482,-0.0153919222092378
"43",2011,"AL","[20,25)","F",150709,147848,0.0189836041643167
"44",2011,"AL","[25,30)","F",143596,143856,-0.00181063539374315
"45",2011,"AL","[30,35)","F",132972,131358,0.0121378936919053
"46",2011,"AL","[35,40)","F",115804,115497,0.00265103105246746
"47",2011,"AL","[40,45)","F",105159,103434,0.0164037314923116
